hour,lambda_expected_orders,capacity_per_hour,excess_orders,idle_capacity_orders,p_crash,idle_cost_inr,crash_cost_inr,tier,fixed_staff_count,idle_cost_per_staff_hour
0,5.6,120.0,0.0,114.4,0.0,1271.11,0.0,Tier-1,10,133.3
1,2.8,120.0,0.0,117.2,0.0,1302.05,0.0,Tier-1,10,133.3
2,1.1,120.0,0.0,118.9,0.0,1320.61,0.0,Tier-1,10,133.3
3,1.1,120.0,0.0,118.9,0.0,1320.61,0.0,Tier-1,10,133.3
4,2.8,120.0,0.0,117.2,0.0,1302.05,0.0,Tier-1,10,133.3
5,11.1,120.0,0.0,108.9,0.0,1209.24,0.0,Tier-1,10,133.3
6,27.8,120.0,0.0,92.2,0.0,1023.63,0.0,Tier-1,10,133.3
7,83.5,120.0,0.0,36.5,0.0001,404.92,0.0,Tier-1,10,133.3
8,111.4,120.0,0.0,8.6,0.193,95.57,0.0,Tier-1,10,133.3
9,100.3,120.0,0.0,19.7,0.0241,219.31,0.0,Tier-1,10,133.3
10,72.4,120.0,0.0,47.6,0.0,528.66,0.0,Tier-1,10,133.3
11,55.7,120.0,0.0,64.3,0.0,714.27,0.0,Tier-1,10,133.3
12,61.3,120.0,0.0,58.7,0.0,652.4,0.0,Tier-1,10,133.3
13,55.7,120.0,0.0,64.3,0.0,714.27,0.0,Tier-1,10,133.3
14,50.1,120.0,0.0,69.9,0.0,776.14,0.0,Tier-1,10,133.3
15,50.1,120.0,0.0,69.9,0.0,776.14,0.0,Tier-1,10,133.3
16,55.7,120.0,0.0,64.3,0.0,714.27,0.0,Tier-1,10,133.3
17,72.4,120.0,0.0,47.6,0.0,528.66,0.0,Tier-1,10,133.3
18,100.3,120.0,0.0,19.7,0.0241,219.31,0.0,Tier-1,10,133.3
19,122.5,120.0,2.5,0.0,0.5672,0.0,38.05,Tier-1,10,133.3
20,111.4,120.0,0.0,8.6,0.193,95.57,0.0,Tier-1,10,133.3
21,83.5,120.0,0.0,36.5,0.0001,404.92,0.0,Tier-1,10,133.3
22,44.6,120.0,0.0,75.4,0.0,838.02,0.0,Tier-1,10,133.3
23,16.7,120.0,0.0,103.3,0.0,1147.37,0.0,Tier-1,10,133.3
0,3.4,60.0,0.0,56.6,0.0,407.97,0.0,Tier-2,5,86.54
1,1.7,60.0,0.0,58.3,0.0,420.33,0.0,Tier-2,5,86.54
2,0.7,60.0,0.0,59.3,0.0,427.75,0.0,Tier-2,5,86.54
3,0.7,60.0,0.0,59.3,0.0,427.75,0.0,Tier-2,5,86.54
4,1.7,60.0,0.0,58.3,0.0,420.33,0.0,Tier-2,5,86.54
5,6.9,60.0,0.0,53.1,0.0,383.26,0.0,Tier-2,5,86.54
6,17.1,60.0,0.0,42.9,0.0,309.1,0.0,Tier-2,5,86.54
7,51.4,60.0,0.0,8.6,0.1047,61.92,0.0,Tier-2,5,86.54
8,68.6,60.0,8.6,0.0,0.8345,0.0,128.28,Tier-2,5,86.54
9,61.7,60.0,1.7,0.0,0.5523,0.0,25.45,Tier-2,5,86.54
10,44.6,60.0,0.0,15.4,0.0111,111.36,0.0,Tier-2,5,86.54
11,34.3,60.0,0.0,25.7,0.0,185.51,0.0,Tier-2,5,86.54
12,37.7,60.0,0.0,22.3,0.0003,160.79,0.0,Tier-2,5,86.54
13,34.3,60.0,0.0,25.7,0.0,185.51,0.0,Tier-2,5,86.54
14,30.8,60.0,0.0,29.2,0.0,210.23,0.0,Tier-2,5,86.54
15,30.8,60.0,0.0,29.2,0.0,210.23,0.0,Tier-2,5,86.54
16,34.3,60.0,0.0,25.7,0.0,185.51,0.0,Tier-2,5,86.54
17,44.6,60.0,0.0,15.4,0.0111,111.36,0.0,Tier-2,5,86.54
18,61.7,60.0,1.7,0.0,0.5523,0.0,25.45,Tier-2,5,86.54
19,75.4,60.0,15.4,0.0,0.9607,0.0,231.11,Tier-2,5,86.54
20,68.6,60.0,8.6,0.0,0.8345,0.0,128.28,Tier-2,5,86.54
21,51.4,60.0,0.0,8.6,0.1047,61.92,0.0,Tier-2,5,86.54
22,27.4,60.0,0.0,32.6,0.0,234.95,0.0,Tier-2,5,86.54
23,10.3,60.0,0.0,49.7,0.0,358.54,0.0,Tier-2,5,86.54
